,grado
896,1.0
897,0.0
898,0.0
899,0.0
900,1.0
901,1.0
902,0.0
903,0.0
904,1.0
905,0.0
906,1.0
907,0.0
908,0.0
909,0.0
910,0.0
911,0.0
912,0.0
913,0.0
914,0.0
915,0.0
916,0.0
917,0.0
918,0.0
919,1.0
920,0.0
921,1.0
922,0.0
923,0.0
924,1.0
925,1.0
926,0.0
927,0.0
928,0.0
929,0.0
930,1.0
931,0.0
932,1.0
933,1.0
934,0.0
935,1.0
936,1.0
937,0.0
938,1.0
939,2.0
940,1.0
941,1.0
942,0.0
943,0.0
944,0.0
945,0.0
946,0.0
947,1.0
948,1.0
949,0.0
950,0.0
951,0.0
952,0.0
953,0.0
954,0.0
955,0.0
956,0.0
957,0.0
958,1.0
959,0.0
960,0.0
961,0.0
962,0.0
963,1.0
964,0.0
965,0.0
966,0.0
967,0.0
968,0.0
969,0.0
970,0.0
971,0.0
972,0.0
973,1.0
974,2.0
975,0.0
976,0.0
977,0.0
978,0.0
979,0.0
980,0.0
981,1.0
982,0.0
983,0.0
984,0.0
985,0.0
986,0.0
987,1.0
988,0.0
989,0.0
990,0.0
991,0.0
992,1.0
993,0.0
994,0.0
995,0.0
996,0.0
997,1.0
998,0.0
999,0.0
1000,0.0
1001,0.0
1002,0.0
1003,1.0
1004,0.0
1005,0.0
1006,1.0
1007,0.0
1008,0.0
1009,0.0
1010,1.0
1011,0.0
1012,1.0
1013,0.0
1014,0.0
1015,2.0
1016,0.0
1017,0.0
1018,0.0
1019,1.0
1020,0.0
1021,0.0
1022,0.0
1023,0.0
1024,0.0
1025,0.0
1026,0.0
1027,0.0
1028,0.0
1029,0.0
1030,0.0
1031,0.0
1032,1.0
1033,0.0
1034,1.0
1035,0.0
1036,0.0
1037,1.0
1038,0.0
1039,0.0
1040,0.0
1041,1.0
1042,1.0
1043,0.0
1044,0.0
1045,0.0
1046,0.0
1047,0.0
1048,0.0
1049,0.0
1050,1.0
1051,0.0
1052,0.0
1053,0.0
1054,0.0
1055,1.0
1056,0.0
1057,0.0
1058,1.0
1059,0.0
1060,0.0
1061,1.0
1062,2.0
1063,0.0
1064,1.0
1065,0.0
1066,1.0
1067,0.0
1068,0.0
1069,0.0
1070,0.0
1071,0.0
1072,1.0
1073,0.0
1074,0.0
1075,0.0
1076,0.0
1077,0.0
1078,0.0
1079,0.0
1080,0.0
1081,0.0
1082,0.0
1083,0.0
1084,0.0
1085,0.0
1086,0.0
1087,0.0
1088,0.0
1089,0.0
1090,0.0
1091,0.0
1092,0.0
1093,1.0
1094,0.0
1095,0.0
1096,0.0
1097,0.0
1098,1.0
1099,0.0
1100,0.0
1101,0.0
1102,0.0
1103,0.0
1104,1.0
1105,1.0
1106,0.0
1107,1.0
1108,0.0
1109,1.0
1110,0.0
1111,0.0
1112,0.0
1113,1.0
1114,0.0
1115,0.0
1116,0.0
1117,1.0
1118,0.0
1119,0.0
1120,0.0
1121,0.0
1122,1.0
1123,0.0
1124,0.0
1125,2.0
1126,1.0
1127,0.0
1128,0.0
1129,0.0
1130,1.0
1131,0.0
1132,0.0
1133,0.0
1134,0.0
1135,0.0
1136,0.0
1137,0.0
1138,0.0
1139,0.0
1140,0.0
1141,0.0
1142,0.0
1143,0.0
1144,0.0
1145,0.0
1146,0.0
1147,0.0
1148,0.0
1149,0.0
1150,0.0
1151,0.0
1152,1.0
1153,0.0
1154,0.0
1155,1.0
1156,0.0
1157,1.0
1158,0.0
1159,1.0
1160,0.0
1161,1.0
1162,1.0
1163,0.0
1164,0.0
1165,0.0
1166,0.0
1167,0.0
1168,0.0
1169,0.0
1170,0.0
1171,0.0
1172,0.0
1173,0.0
1174,1.0
1175,1.0
1176,0.0
1177,0.0
1178,1.0
1179,2.0
1180,0.0
1181,0.0
1182,0.0
1183,1.0
1184,1.0
1185,0.0
1186,0.0
1187,0.0
1188,1.0
1189,0.0
1190,1.0
1191,0.0
1192,1.0
1193,0.0
1194,1.0
1195,2.0
1196,0.0
1197,1.0
1198,0.0
1199,1.0
1200,0.0
1201,0.0
1202,1.0
1203,0.0
1204,1.0
1205,1.0
1206,2.0
1207,0.0
1208,0.0
1209,2.0
1210,1.0
1211,0.0
1212,0.0
1213,0.0
1214,0.0
1215,0.0
1216,1.0
1217,0.0
1218,0.0
1219,1.0
